タスクIDタスク名起票日時最終更新日時ステータス優先度期限関連ファイル進捗率備考
IN-001アナキズムの再考_物語生成2025/2/17 13:192025/2/17 13:21完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Anarchism_Reconsidered.md100Interactive_narrative物語生成タスク
IN-002マルクス以降の労働価値論_物語生成2025/2/17 13:252025/2/17 13:27完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Labor_Value_Theory.md100Interactive_narrative物語生成タスク
IN-003共有地の悲劇とコモンズ論_物語生成2025/2/17 13:272025/2/17 13:28完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Commons_Tragedy.md100Interactive_narrative物語生成タスク
IN-004ポスト・ヒューマニズム_物語生成2025/2/17 13:312025/2/17 15:20完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Post_Humanism.md100Interactive_narrative物語生成タスク
IN-005バイオパワー_物語生成2025/2/17 15:212025/2/17 15:23完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Biopower.md100Interactive_narrative物語生成タスク
IN-007共有地の悲劇とコモンズ論_物語生成2025/2/17 15:252025/2/17 15:29完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Commons_Tragedy.md100Interactive_narrative物語生成タスク
IN-008贈与論_物語生成2025/2/17 15:302025/2/17 15:33完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Gift_Theory.md100Interactive_narrative物語生成タスク
IN-009カルチュラル・スタディーズ_物語生成2025/2/17 15:332025/2/17 15:35完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Cultural_Studies.md100Interactive_narrative物語生成タスク
IN-010インターフェイス批評学_物語生成2025/2/17 15:362025/2/17 15:38完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Interface_Criticism.md100Interactive_narrative物語生成タスク
IN-011社会的想像力_物語生成2025/2/17 15:392025/2/17 15:41完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Social_Imagination.md100Interactive_narrative物語生成タスク
IN-012技術と労働の未来_物語生成2025/2/17 15:442025/2/17 15:47完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Future_of_Work.md100Interactive_narrative物語生成タスク
IN-013アートとプロパガンダ_物語生成2025/2/17 15:472025/2/17 15:56完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Art_and_Propaganda.md100Interactive_narrative物語生成タスク
IN-014リゾーム的思考_物語生成2025/2/17 15:572025/2/17 16:03完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Rhizome_Thinking.md100Interactive_narrative物語生成タスク
IN-015ポスト・コロニアル理論_物語生成2025/2/17 16:042025/2/17 16:08完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Post_Colonial.md100Interactive_narrative物語生成タスク
IN-016公共圏_物語生成2025/2/17 16:092025/2/17 16:14完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Public_Sphere.md100Interactive_narrative物語生成タスク
IN-017環境倫理学_物語生成2025/2/17 16:152025/2/17 16:20完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Environmental_Ethics.md100Interactive_narrative物語生成タスク
IN-018メディア・エコロジー_物語生成2025/2/17 16:212025/2/17 16:24完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Media_Ecology.md100Interactive_narrative物語生成タスク
IN-019社会契約説再考_物語生成2025/2/17 16:252025/2/17 16:29完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Social_Contract.md100Interactive_narrative物語生成タスク
IN-020言語ゲーム_物語生成2025/2/17 16:302025/2/17 16:34完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Language_Game.md100Interactive_narrative物語生成タスク
IN-021集合知とクラウドソーシング_物語生成2025/2/17 16:352025/2/17 16:41完了中2025/2/18workspace/note_workspace/past_articles/Interactive_narrative/Collective_Intelligence.md100Interactive_narrative物語生成タスク
IN-022誇示的消費論_物語生成2025/2/18 13:152025/2/18 13:27完了中2025/2/19workspace/note_workspace/past_articles/Interactive_narrative/Conspicuous_Consumption.md100Interactive_narrative物語生成タスク
IN-023パターナリズムと自由_物語生成2025/2/18 13:302025/2/18 15:19完了中2025/2/19workspace/note_workspace/past_articles/Interactive_narrative/Paternalism_and_Freedom.md100Interactive_narrative物語生成タスク
IN-024ソーシャル・キャピタル_物語生成2025/2/18 15:202025/2/18 15:30完了中2025/2/19workspace/note_workspace/past_articles/Interactive_narrative/Social_Capital.md100Interactive_narrative物語生成タスク
IN-025脱成長論_物語生成2025/2/18 15:322025/2/18 15:37完了中2025/2/19workspace/note_workspace/past_articles/Interactive_narrative/Degrowth.md100Interactive_narrative物語生成タスク
IN-026実存主義と現代_物語生成2025/2/18 15:392025/2/18 15:48完了中2025/2/19workspace/note_workspace/past_articles/Interactive_narrative/Existentialism.md100Interactive_narrative物語生成タスク
IN-027地域通貨とコミュニティ再生_物語生成2025/2/18 15:512025/2/18 15:51新規中2025/2/19workspace/note_workspace/past_articles/Interactive_narrative/Local_Currency.md0Interactive_narrative物語生成タスク
